,summary,Sommer,Herbst,Frühling,Winter,word
heute winterlich,2.5375804257691064,-0.26466040522348494,-0.17092403769591347,-0.17719119789187904,0.25951953042412557,heute winterlich
besonders morgen+stunde+n,3.058570653800706,-0.45139706670841484,-0.3576606991808434,-0.3639278593768087,0.4123837756951047,besonders morgen+stunde+n
morgen+stunde+n straße+n,2.252777747648902,-0.1456133757646315,-0.05187700823706004,-0.05814416843302545,0.12874431624510002,morgen+stunde+n straße+n
kann…,2.1820704663413517,-0.11372354774482238,-0.01998718021725088,-0.02625434041321632,0.08757123139902527,kann…
morgen+stunde+n kann…,2.1820704663413517,-0.11372354774482238,-0.01998718021725088,-0.02625434041321632,0.08757123139902527,morgen+stunde+n kann…
kann… +920,2.1807412992690827,-0.1131142310083687,-0.019377863480797085,-0.02564502367676254,0.08675466474276929,kann… +920
osten hier,5.430606123307509,-0.3158150293001048,-0.9317637515806596,-0.9380309117766249,0.5428242644726172,osten hier
sie glätte,7.683603328419377,-1.372537986988885,-1.2788016194613134,-1.2850687796572786,0.7599367057963069,sie glätte
winter+einbruch verlier+t,4.110276307054583,-0.7469396207157335,-0.653203253188162,-0.6594704133841274,0.5750670927296819,winter+einbruch verlier+t
verlier+t heute,3.830345711564986,-0.6764044297086533,-0.582668062181082,-0.5889352223770473,0.5426364548594447,verlier+t heute
heute schwung,3.5534526963689217,-0.6013690878275346,-0.5076327202999631,-0.5138998804959285,0.5041932170663259,heute schwung
schwung besonders,3.441419834127654,-0.5693334951830044,-0.4755971276554329,-0.48186428785139823,0.48638627766209097,schwung besonders
osten land+es,3.8408605141174097,-0.6791458001862749,-0.5854094326587035,-0.5916765928546689,0.5439605598569709,osten land+es
land+es bleib+t,3.1362817387441178,-0.4764873050870024,-0.3827509375594308,-0.3890180977553963,0.4293468313515443,land+es bleib+t
bleib+t winterlich,11.06241340513942,-1.4159851003000428,-1.6432661814653065,-1.649533341661272,0.7978963104660513,bleib+t winterlich
ab+ge+seh+en nordwesten,2.965414969648844,-0.4204663451669407,-0.3267299776393693,-0.3329971378353345,0.3904556410778977,ab+ge+seh+en nordwesten
nordwesten westen,2.919601665683162,-0.4048965575862442,-0.3111601900586728,-0.3174273502546381,0.37896772183994754,nordwesten westen
westen sei,2.900299258534995,-0.39826329074018735,-0.30452692321261576,-0.3107940834085812,0.37397791278022746,westen sei
sei frost,2.879626175805609,-0.39110985212907456,-0.29737348460150304,-0.30364064479746866,0.3685312391209233,sei frost
glätte süd+osten,2.8313138830648454,-0.37419024002304085,-0.28045387249546944,-0.2867210326914348,0.35537061517606183,glätte süd+osten
manch…,2.383056291958168,-0.2018331866183238,-0.10809681909075242,-0.11436397928671775,0.1945815950962926,manch…
süd+osten manch…,2.383056291958168,-0.2018331866183238,-0.10809681909075242,-0.11436397928671775,0.1945815950962926,süd+osten manch…
+726,2.3751719730696106,-0.19851921105214265,-0.10478284352457112,-0.1110500037205366,0.19091752397996536,+726
manch… +726,2.3751719730696106,-0.19851921105214265,-0.10478284352457112,-0.1110500037205366,0.19091752397996536,manch… +726
+726 chars,2.370455603464808,-0.1965315408940702,-0.10279517336649877,-0.10906233356246427,0.188707557401255,+726 chars
winter+einbruch wetter+dienst,2.867989577233682,-0.3870606550458355,-0.2933242875182642,-0.29959144771422963,0.3654175400956376,winter+einbruch wetter+dienst
straße+n westen,2.6042320596283743,-0.2905872034499073,-0.1968508359223358,-0.2031179961183011,0.2840332286008254,straße+n westen
deutschland+s laut,3.6741154640293185,0.22281294180918526,-0.5410254125801526,-0.5472925727761181,0.19005199366161454,deutschland+s laut
meteorologe+n glatteis,3.9769111304253073,-0.7139547865668576,-0.6202184190392863,-0.6264855792352515,0.5603162911451535,meteorologe+n glatteis
mancher…,2.3943421010287866,-0.20655786274380436,-0.11282149521623283,-0.11908865541219835,0.19976148566852134,mancher…
süd+osten mancher…,2.3943421010287866,-0.20655786274380436,-0.11282149521623283,-0.11908865541219835,0.19976148566852134,süd+osten mancher…
+684,2.682964872305013,-0.32037184513837536,-0.22663547761080394,-0.2329026378067693,0.3107286444689371,+684
mancher… +684,2.3838518567114106,-0.20216697310458143,-0.10843060557701013,-0.11469776577297548,0.19494922921577637,mancher… +684
+684 chars,2.6715587248654256,-0.31611146062975526,-0.22237509310218379,-0.2286422532981491,0.3070016394418775,+684 chars
dwd-prognos+e auto+fahrer,4.221902209613826,-0.773735153531364,-0.6799987860037926,-0.6862659461997581,0.5865455052427586,dwd-prognos+e auto+fahrer
auto+fahrer auf+ge+pass+t,10.611657188061727,-1.6954024980490505,-1.6016661305214792,-1.6079332907174446,0.8121225473662709,auto+fahrer auf+ge+pass+t
Schmuddelwetter,6.415893995224194,-0.6680716954351883,-1.0984913474322617,-1.1047585076282267,0.6511825049216279,Schmuddelwetter
auf+ge+pass+t schmuddelwett+er,3.8413079637687653,-0.6792622906415805,-0.5855259231140091,-0.5917930833099745,0.5440167066088851,auf+ge+pass+t schmuddelwett+er
schmuddelwett+er schnee+glätte,5.5721274731200285,-1.051226299573719,-0.9574899320461474,-0.9637570922421129,0.68351946786137,schmuddelwett+er schnee+glätte
sie auto+fahrer,3.6743929697355027,-0.6348373071915717,-0.5411009396640002,-0.5473680998599655,0.5218804326836557,sie auto+fahrer
winter klopf+t,3.4158595173543826,-0.5618785166578882,-0.46814214913031693,-0.47440930932628217,0.4821130042278899,winter klopf+t
klopf+t woche,3.049386640187696,-0.4483898352913566,-0.3546534677637849,-0.3609206279597505,0.4103021778382913,klopf+t woche
woche baden-württemberg,2.9205057299928345,-0.40520616296013295,-0.31146979543256137,-0.3177369556285269,0.3791992070181288,woche baden-württemberg
baden-württemberg kräftig,2.761926923940511,-0.34937796344963495,-0.2556415959220633,-0.2619087561180287,0.3353339619442984,baden-württemberg kräftig
kräftig dienstag,2.6773526729579045,-0.318277864194002,-0.2245414966664306,-0.23080865686239588,0.30890053971027914,kräftig dienstag
dienstag bleib+t,3.563415564718159,0.21673100694801062,-0.5104325121443103,-0.5166996723402757,0.18085641213435383,dienstag bleib+t
bleib+t himmel,2.9037927223425686,0.07491282845904902,-0.30573071675722324,-0.31199787695318837,0.17025575250997058,bleib+t himmel
himmel angabe+n,2.5608548856530216,-0.27379050892770296,-0.18005414140013162,-0.18632130159609683,0.2682935714709139,himmel angabe+n
dwd meist,2.4672185697879554,-0.23654079749705004,-0.1428044299694785,-0.149071590165444,0.23147704836446445,dwd meist
Regen-,8.903454323067816,-0.10687329443408224,-1.4261523265699074,-0.49568853240959954,0.4555541669146968,Regen-
zieh+en regen+-,2.816887415234496,0.21137672962903964,-0.275345520848532,-0.2816126810444974,0.05939236366499285,zieh+en regen+-
Graupelschauer,9.908270887817295,0.04865710685303722,-1.5330828505118823,-0.9616691735800376,0.4642546059150491,Graupelschauer
regen+- graupelschau+er,3.047373713219258,0.16151825810263093,-0.35399314099189394,-0.3602603011878594,0.1414883866787323,regen+- graupelschau+er
+814,2.943369474771462,-0.41300437143014807,-0.3192680039025766,-0.32553516409854216,0.3849887195747043,+814
graupelschau+er +814,2.386680371150736,-0.203352800863697,-0.10961643333612572,-0.11588359353209099,0.19625322353387217,graupelschau+er +814
+814 chars,2.926076272879503,-0.4071117360178895,-0.31337536849031794,-0.3196425286862833,0.3806212091928383,+814 chars
winter bayern,11.331986653911073,-0.12372896945718007,-1.6673424031788409,-1.6736095633748065,0.5884033291485982,winter bayern
bayern wetter+dienst,3.9400742242724514,0.1490335910711043,-0.6109125607261309,-0.6171797209220963,0.2646874671957466,bayern wetter+dienst
kündig+t schnee,7.214558519850204,-1.3095503676172218,-1.2158140000896502,-1.2220811602856156,0.747233943945303,kündig+t schnee
winter bayer+n,3.391755785853796,-0.5547970847162266,-0.4610607171886552,-0.4673278773846206,0.478007075931422,winter bayer+n
sie wetter+dienst,14.918236369709252,0.17421590985703128,-0.31026337630956363,-1.037890792990005,0.2502574051653313,sie wetter+dienst
Winterliche,16.418404834068145,-1.68834354231844,-2.038115950508537,-2.0443831107045027,0.8394993785186768,Winterliche
winterlich+e tag+e,4.885011990303582,-0.5986036577869241,-0.825884738952188,-0.8321518991481534,0.5880791319040762,winterlich+e tag+e
steh+en bayern,2.942759170228701,-0.4127970009896579,-0.3190606334620866,-0.32532779365805176,0.38483577952742737,steh+en bayern
bayern bevor,2.9095798602996723,-0.4014580593294902,-0.3077216918019188,-0.31398885199788423,0.37638838624114185,bayern bevor
Frankenwald,2.6288350751145733,-0.2999901773186878,-0.2062538097911163,-0.21252096998708173,0.2926246240244289,Frankenwald
